Epoch,TrainLoss,ValLoss,TrainDeltaLoss
1,0.12200731188058853,0.09559939801692963,0.12159217645724614
2,0.10675740838050843,0.0889759287238121,0.10444559380412102
3,0.10111077974239985,0.0880751982331276,0.10106952041387558
4,0.10123394678036372,0.08748342841863632,0.10052481442689895
5,0.09852214356263479,0.08761873096227646,0.0973392849167188
6,0.09606749986608823,0.08819778263568878,0.09665806119640669
7,0.09526479008297126,0.08845113962888718,0.09527826569974422
8,0.09431353161732356,0.08924218267202377,0.09526521290342013
9,0.0939566396176815,0.09014388918876648,0.09401868581771851
10,0.09207934116323789,0.09063535183668137,0.09281732887029648
11,0.09264750853180885,0.09037493914365768,0.09110237757364908
12,0.09240215197205544,0.0909213274717331,0.09085702821612358
13,0.08897003630797068,0.09209921211004257,0.09038355958958467
14,0.08961871514717738,0.09234362095594406,0.0897797795633475
15,0.08944053972760836,0.09446371346712112,0.08854814196626346
16,0.0881387636065483,0.09510738402605057,0.08765167643626531
17,0.08736337348818779,0.0962795838713646,0.08634023418029149
18,0.0875940444568793,0.09660239517688751,0.0875207856297493
19,0.08616025584439437,0.09744123369455338,0.08640706514318784
